crop_age_days,sat_ndvi,sat_evi,sat_temp_celsius,sat_diurnal_temp_range,sat_solar_radiation_kwh_m2,sat_precipitation_mm,sat_humidity_pct,gdd,sucrose_pct
335.5,0.645,0.539,25.9,13.4,6.29,2.52,66.1,464.7,16.71
339.7,0.49,0.401,23.9,13.5,8.44,0.63,83.4,405.8,16.6
210.0,0.919,0.757,25.2,10.0,5.76,0.45,60.9,276.3,14.1
282.4,0.686,0.65,36.2,12.5,7.32,0.75,69.3,683.2,16.7
337.7,0.73,0.553,32.3,6.1,6.29,0.55,33.8,686.6,15.4
310.7,0.482,0.445,26.6,13.0,7.78,0.48,53.0,452.8,17.29
388.4,0.802,0.695,35.1,16.0,5.7,1.11,36.4,895.5,17.61
344.9,0.549,0.46,35.8,12.7,5.46,4.77,63.7,820.3,16.27
235.8,0.872,0.781,35.5,15.6,9.09,1.41,81.6,555.3,17.09
215.5,0.546,0.463,36.7,14.0,5.01,0.42,66.4,532.4,14.68
341.3,0.54,0.499,26.0,7.3,7.03,0.16,34.2,479.1,15.09
205.8,0.467,0.435,34.1,15.9,5.6,2.38,49.5,454.5,13.26
328.9,0.672,0.561,29.4,6.7,4.69,0.97,60.3,571.2,14.86
406.9,0.715,0.576,35.5,11.9,4.68,3.45,52.2,955.0,15.64
326.6,0.481,0.418,33.7,7.6,5.38,2.15,75.9,707.3,14.43
285.4,0.814,0.759,34.4,6.1,8.83,3.18,74.8,640.0,16.91
341.5,0.663,0.525,32.5,10.6,5.91,0.63,63.7,700.1,15.0
300.8,0.696,0.609,24.8,9.2,9.25,2.36,50.5,386.2,17.18
320.0,0.657,0.576,30.7,11.3,7.41,0.61,44.0,599.1,15.58
407.1,0.638,0.572,37.8,12.3,6.68,5.6,35.8,1048.5,14.67
284.9,0.713,0.554,37.0,6.5,7.4,2.02,49.5,712.3,16.11
411.5,0.523,0.467,22.7,7.4,7.08,0.78,52.7,439.9,14.8
399.2,0.536,0.499,24.6,12.1,8.29,0.63,67.2,504.4,16.18
243.1,0.855,0.672,24.1,9.8,5.91,0.42,66.2,294.3,15.73
215.3,0.895,0.714,33.6,14.0,6.27,2.37,33.9,465.3,16.11
222.2,0.625,0.591,35.1,13.2,8.97,0.49,51.7,512.9,15.08
204.0,0.577,0.454,25.4,15.3,9.23,1.81,40.0,273.7,14.15
220.8,0.753,0.693,30.1,13.6,8.96,0.61,38.6,399.5,16.44
350.3,0.642,0.545,35.5,10.7,6.6,2.17,75.5,821.4,17.04
215.7,0.462,0.369,33.7,13.4,8.4,3.37,32.3,468.5,13.93
270.2,0.523,0.484,30.7,9.0,6.88,3.01,53.1,504.6,14.01
385.9,0.787,0.66,31.4,9.4,6.99,2.86,39.3,750.4,17.7
205.1,0.76,0.648,30.1,14.7,5.52,0.42,78.4,372.0,15.41
379.2,0.463,0.38,26.8,10.9,7.46,0.19,60.6,559.7,16.8
262.0,0.554,0.481,31.0,14.8,5.43,2.4,42.7,498.9,14.77
226.0,0.559,0.437,33.0,15.0,6.16,0.92,57.6,475.1,14.3
353.3,0.766,0.634,36.0,15.4,8.78,1.13,70.2,846.9,18.8
338.4,0.459,0.433,32.2,16.1,5.54,0.06,82.7,682.8,16.97
393.0,0.499,0.4,34.2,10.7,4.86,0.6,42.1,871.7,15.46
361.7,0.826,0.728,24.6,9.5,4.85,0.07,78.7,454.4,17.25
376.8,0.534,0.435,29.4,12.4,9.2,4.23,81.4,655.0,16.65
262.0,0.757,0.685,22.1,10.1,7.03,0.56,80.4,266.0,16.35
239.0,0.562,0.436,25.9,12.6,6.55,1.63,64.9,333.4,14.62
365.1,0.497,0.469,33.6,13.8,8.55,0.08,64.6,789.5,18.14
377.5,0.564,0.474,37.9,13.6,8.68,2.2,52.2,976.6,18.01
417.9,0.789,0.629,23.6,10.1,6.16,0.78,71.4,484.2,16.09
290.8,0.852,0.652,28.4,7.8,7.97,4.56,59.2,477.6,16.66
281.8,0.84,0.659,34.8,10.7,8.36,4.38,67.3,642.6,17.08
370.8,0.637,0.544,25.3,7.6,7.77,0.79,53.6,491.9,15.22
275.0,0.764,0.624,30.9,15.8,5.26,4.62,70.2,519.2,16.76
404.8,0.546,0.5,33.7,9.8,8.88,11.12,75.3,879.5,16.1
388.9,0.588,0.491,31.9,7.7,7.2,3.49,38.1,772.1,14.67
294.4,0.871,0.697,25.0,6.3,5.91,3.73,75.8,382.9,15.58
365.2,0.456,0.398,27.7,13.1,6.63,0.57,59.7,572.8,16.11
366.0,0.49,0.437,34.5,13.0,4.69,1.72,76.5,825.0,15.23
222.7,0.548,0.429,30.9,9.7,5.14,0.14,53.7,420.2,13.39
398.6,0.462,0.362,22.1,6.8,8.33,0.2,50.8,401.9,15.29
311.2,0.535,0.405,34.2,10.5,4.5,13.61,80.3,690.0,13.44
381.8,0.724,0.65,22.6,9.4,6.58,0.79,43.8,403.4,15.96
270.4,0.648,0.572,33.9,13.4,7.11,2.76,76.4,593.1,15.23
397.0,0.87,0.735,25.2,12.7,4.77,3.29,56.6,525.6,17.49
285.6,0.834,0.766,37.3,10.0,9.37,3.9,58.3,723.5,18.05
202.4,0.611,0.556,27.9,8.4,5.63,12.09,47.0,321.5,11.11
399.2,0.572,0.496,27.2,16.9,6.02,0.55,61.5,608.0,17.09
220.1,0.628,0.58,24.4,11.0,6.02,0.08,47.9,272.5,14.73
270.2,0.727,0.576,26.9,13.6,5.65,1.06,32.2,402.4,16.1
409.0,0.576,0.445,36.0,7.5,4.51,0.28,45.0,982.7,15.47
409.1,0.743,0.598,37.9,11.3,8.15,0.05,30.4,1061.3,18.27
326.2,0.642,0.489,27.9,6.3,9.33,0.89,83.8,518.4,16.83
339.0,0.709,0.607,29.2,11.6,5.62,3.06,83.1,582.3,16.45
298.7,0.655,0.614,33.6,16.6,7.82,1.67,51.7,643.7,17.94
264.5,0.588,0.446,36.2,10.2,8.21,0.75,70.1,639.6,14.93
272.3,0.896,0.694,31.5,6.4,8.74,2.12,49.0,530.7,16.59
348.0,0.809,0.68,28.3,6.3,6.61,0.53,66.9,565.9,15.6
365.5,0.516,0.483,28.6,10.3,6.01,0.03,74.3,606.8,15.73
374.1,0.858,0.698,33.1,7.8,6.13,2.89,82.1,790.6,15.97
373.7,0.679,0.578,22.1,6.3,8.06,1.95,52.0,375.6,15.46
220.1,0.87,0.66,31.9,14.3,8.58,2.87,73.1,438.2,17.23
308.8,0.826,0.644,27.7,11.0,5.41,0.08,44.6,484.4,17.91
212.7,0.65,0.616,34.7,9.2,6.35,3.63,84.5,482.9,14.0
320.9,0.461,0.434,23.5,15.9,9.01,1.93,31.4,368.6,16.85
297.1,0.576,0.433,31.4,7.3,8.53,1.66,63.2,576.8,15.59
395.3,0.705,0.663,29.7,16.5,9.42,1.96,66.3,699.5,18.59
277.2,0.748,0.656,32.3,9.5,8.27,4.0,67.8,562.1,16.11
225.8,0.571,0.528,23.0,15.8,6.47,1.77,36.6,249.2,14.22
231.5,0.515,0.434,31.3,12.6,7.45,1.74,81.6,446.2,14.91
367.5,0.842,0.719,31.0,15.1,7.81,9.35,40.0,697.7,16.95
336.0,0.913,0.774,31.0,16.8,4.89,2.83,64.3,637.4,18.68
222.2,0.697,0.616,31.7,9.2,7.22,1.17,42.2,436.8,14.28
218.5,0.531,0.413,32.8,16.6,8.05,2.46,46.9,455.0,15.93
354.2,0.578,0.437,34.9,10.3,5.34,0.99,60.1,810.4,14.61
216.0,0.459,0.372,26.3,10.2,8.4,0.52,52.9,309.3,13.94
380.8,0.88,0.784,35.2,9.7,7.42,1.82,38.8,883.5,18.01
355.4,0.505,0.399,30.0,12.0,9.26,5.27,39.4,638.7,14.94
217.9,0.721,0.638,23.2,7.7,4.71,5.29,53.0,244.8,12.07
218.7,0.579,0.546,22.9,12.1,5.83,0.84,71.7,239.1,13.6
417.1,0.71,0.546,27.3,12.0,7.51,1.5,79.4,640.1,17.13
282.3,0.756,0.669,34.6,14.4,5.98,0.48,34.6,636.9,17.21
281.5,0.84,0.705,33.3,15.2,8.07,10.87,51.6,600.3,16.3
378.8,0.547,0.505,34.6,10.8,8.3,7.94,35.5,856.8,15.9
408.4,0.455,0.358,30.3,9.3,5.01,2.1,30.9,746.4,14.37
416.9,0.514,0.457,29.0,8.9,7.07,3.26,66.4,710.6,15.71
365.7,0.873,0.801,24.4,8.1,7.04,2.51,63.1,452.0,16.54
282.8,0.861,0.808,27.3,6.6,6.35,1.8,39.0,431.3,15.26
218.4,0.731,0.648,28.9,9.8,9.16,0.11,42.9,370.0,16.04
371.0,0.732,0.622,23.4,9.0,8.64,1.21,31.3,423.6,16.49
322.8,0.763,0.666,25.5,16.6,7.99,2.25,75.9,436.8,18.61
293.3,0.532,0.492,31.6,12.1,8.07,2.26,83.6,574.1,16.22
399.4,0.88,0.76,33.8,9.8,6.81,0.93,37.5,869.5,17.29
224.5,0.647,0.489,38.0,12.4,9.1,5.68,42.7,583.0,13.78
308.4,0.63,0.59,36.9,7.5,7.97,0.37,77.8,768.8,16.77
202.5,0.694,0.616,32.3,10.9,8.14,1.39,81.0,410.7,14.12
303.1,0.472,0.418,28.7,12.9,8.81,2.35,53.1,507.4,16.84
212.4,0.528,0.419,32.2,11.4,5.87,2.39,32.8,428.6,12.44
226.1,0.797,0.703,34.6,10.4,8.54,2.09,32.2,510.4,15.21
225.9,0.489,0.405,23.9,16.9,5.48,0.64,61.6,268.6,14.64
342.8,0.733,0.646,28.6,15.7,6.23,0.34,51.6,567.7,18.8
364.1,0.565,0.436,35.4,12.9,6.18,2.02,31.6,853.4,15.51
328.3,0.633,0.558,28.1,12.3,9.39,1.83,62.1,530.0,17.84
411.7,0.586,0.556,31.1,12.8,8.78,0.4,30.6,788.4,17.31
282.5,0.617,0.469,31.4,8.2,8.01,2.44,73.3,548.1,15.54
262.9,0.788,0.745,25.0,10.3,8.14,1.21,46.9,340.4,17.26
391.1,0.59,0.49,27.8,6.4,7.31,2.2,32.2,617.8,14.83
249.2,0.716,0.662,27.4,11.2,9.24,3.63,62.4,382.6,15.91
411.9,0.674,0.611,22.4,12.0,6.98,0.37,51.9,429.2,18.0
202.7,0.762,0.658,22.4,8.5,6.4,0.04,83.6,210.5,12.99
413.4,0.89,0.799,35.3,16.6,5.32,3.02,59.9,963.5,17.96
209.5,0.794,0.735,26.4,16.0,8.43,1.88,45.1,301.0,15.99
396.1,0.551,0.458,30.3,13.9,8.17,2.41,69.0,724.3,16.87
316.1,0.465,0.379,26.8,11.9,6.42,3.64,44.9,467.2,15.31
418.5,0.573,0.506,37.1,15.6,4.63,3.25,79.7,1048.3,16.43
216.2,0.73,0.665,26.1,7.4,8.69,6.48,50.6,305.9,12.99
321.8,0.474,0.428,28.9,14.7,4.56,1.54,60.2,543.1,15.46
413.2,0.683,0.621,36.0,7.4,8.02,1.34,32.8,990.3,16.05
315.1,0.731,0.612,35.5,14.7,9.35,1.03,53.4,739.5,18.8
338.5,0.607,0.555,25.0,9.0,6.69,0.33,75.8,439.3,16.42
353.1,0.812,0.629,34.8,15.6,5.67,1.7,74.3,806.5,18.0
300.0,0.5,0.43,29.3,16.4,8.02,0.65,42.3,519.9,16.85
338.1,0.485,0.365,29.7,7.6,8.59,5.08,42.4,599.3,14.05
328.5,0.792,0.646,24.1,11.1,7.23,1.75,75.0,398.7,16.84
398.3,0.683,0.562,23.3,16.8,9.34,1.8,81.2,449.6,18.8
210.0,0.774,0.641,33.6,11.3,4.76,0.88,35.2,454.6,12.99
261.8,0.654,0.582,29.9,15.5,7.02,0.11,54.8,469.8,16.74
409.1,0.566,0.468,29.0,12.5,8.09,0.06,48.6,695.0,17.81
395.9,0.835,0.701,33.7,10.1,8.81,1.1,77.9,857.9,18.08
300.2,0.826,0.659,34.2,9.1,5.4,0.18,34.6,668.0,17.08
336.4,0.777,0.64,24.5,8.2,8.5,1.87,41.6,422.0,16.88
261.0,0.578,0.46,31.8,14.4,7.26,4.26,71.4,515.9,16.07
241.4,0.727,0.556,24.2,10.3,6.48,4.29,32.8,293.7,15.03
302.0,0.62,0.54,34.0,11.6,5.16,2.15,57.1,665.1,15.65
277.7,0.493,0.436,32.5,11.4,8.83,0.47,54.3,569.7,16.27
328.4,0.881,0.77,37.3,12.4,5.29,3.98,48.4,831.1,17.22
217.1,0.514,0.433,23.1,15.5,6.05,4.34,51.7,241.1,13.99
414.4,0.897,0.741,22.9,16.8,5.95,0.44,59.1,452.2,18.8
417.0,0.66,0.609,26.5,10.5,8.86,2.67,38.9,605.2,16.25
